,book_id,title,image_url,url,num_pages,ratings_count,description,genre,name,book_id_mapping
0,5899779,Pride and Prejudice and Zombies Pride and Prejudice and Zombies 1,https://images.gr-assets.com/books/1320449653m/5899779.jpg,https://www.goodreads.com/book/show/5899779-pride-and-prejudice-and-zombies,320,105537,"The New York Times Best Seller is now a major motion picture starring Lily James and Sam Riley, with Matt Smith, Charles Dance, and Lena Headey. 
""It is a truth universally acknowledged that a zombie in possession of brains must be in want of more brains.""
So begins Pride and Prejudice and Zombies, an expanded edition of the beloved Jane Austen novel featuring all-new scenes of bone-crunching zombie mayhem. As our story opens, a mysterious plague has fallen upon the quiet English village of Meryton--and the dead are returning to life! Feisty heroine Elizabeth Bennet is determined to wipe out the zombie menace, but she's soon distracted by the arrival of the haughty and arrogant Mr. Darcy. What ensues is a delightful comedy of manners with plenty of civilized sparring between the two young lovers--and even more violent sparring on the blood-soaked battlefield. Can Elizabeth vanquish the spawn of Satan? And overcome the social prejudices of the class-conscious landed gentry? Complete with romance, heartbreak, swordfights, cannibalism, and thousands of rotting corpses, Pride and Prejudice and Zombies transforms a masterpiece of world literature into something you'd actually want to read.","['fantasy, paranormal', 'romance', 'fiction', 'history, historical fiction, biography', 'young-adult', 'mystery, thriller, crime']",Jane Austen,808
1,872333,Blue Bloods Blue Bloods 1,https://images.gr-assets.com/books/1322281515m/872333.jpg,https://www.goodreads.com/book/show/872333.Blue_Bloods,302,117633,"When the Mayflower set sail in 1620, it carried on board the men and women who would shape America: Miles Standish; John Alden; Constance Hopkins. But some among the Pilgrims were not pure of heart; they were not escaping religious persecution. Indeed, they were not even human. They were vampires.The vampires assimilated quickly into the New World. Rising to levels of enormous power, wealth, and influence, they were the celebrated blue bloods of American society.
The Blue Bloodsvowed that their immortal status would remain a closely guarded secret. And they kept that secret for centuries. But now, in New York City, the secret is seeping out. Schuyler Van Alen is a sophomore at a prestigious private school. She prefers baggy, vintage clothes instead of the Prada and pearls worn by her classmates, and she lives with her reclusive grandmother in a dilapated mansion. Schuyler is a loner...and happy that way. Suddenly, when she turns fifteen, there is a visible mosaic of blue veins on her arm. She starts to crave raw food and she is having flashbacks to ancient times. Then a popular girl from her school is found dead... drained of all her blood. Schuyler doesn't know what to think, but she wants to find out the secrets the Blue Bloods are keeping. But is she herself in danger?","['young-adult', 'fantasy, paranormal', 'romance', 'fiction', 'mystery, thriller, crime']",Melissa de la Cruz,217
2,15507958,Me Before You Me Before You 1,https://images.gr-assets.com/books/1357108762m/15507958.jpg,https://www.goodreads.com/book/show/15507958-me-before-you,369,609327,"Louisa Clark is an ordinary young woman living an exceedingly ordinary life--steady boyfriend, close family--who has never been farther afield than their tiny village. She takes a badly needed job working for ex-Master of the Universe Will Traynor, who is wheelchair-bound after an accident. Will has always lived a huge life--big deals, extreme sports, worldwide travel--and now he's pretty sure he cannot live the way he is.
Will is acerbic, moody, bossy--but Lou refuses to treat him with kid gloves, and soon his happiness means more to her than she expected. When she learns that Will has shocking plans of his own, she sets out to show him that life is still worth living.
A love story for this generation, Me Before Youbrings to life two people who couldn't have less in common--a heartbreakingly romantic novel that asks, What do you do when making the person you love happy also means breaking your own heart?","['romance', 'fiction']",Jojo Moyes,385
3,66559,Sharp Objects,https://images.gr-assets.com/books/1423241485m/66559.jpg,https://www.goodreads.com/book/show/66559.Sharp_Objects,254,208394,"Fresh from a brief stay at a psych hospital, reporter Camille Preaker faces a troubling assignment: she must return to her tiny hometown to cover the murders of two preteen girls. For years, Camille has hardly spoken to her neurotic, hypochondriac mother or to the half-sister she barely knows, a beautiful thirteen-year-old with an eerie grip on the town. Now, installed in her old bedroom in her family's Victorian mansion, Camille finds herself identifying with the young victims--a bit too strongly. Dogged by her own demons, she must unravel the psychological puzzle of her own past if she wants to get the story--and survive this homecoming.","['mystery, thriller, crime', 'fiction']",Gillian Flynn,192
4,7235533,The Way of Kings The Stormlight Archive 1,https://images.gr-assets.com/books/1507307887m/7235533.jpg,https://www.goodreads.com/book/show/7235533-the-way-of-kings,1007,151473,"Speak again the ancient oaths,
Life before death.
Strength before weakness.
Journey before Destination.
And return to men the Shards they once bore.
The Knights Radiant must stand again.
Roshar is a world of stone swept by tempests that shape ecology and civilization. Animals and plants retract; cities are built in shelter. In centuries since ten orders of Knights fell, their Shardblade swords and Shardplate armor still transform men into near-invincible warriors. Wars are fought for them, and won by them.
In one such war on the ruined Shattered Plains, slave Kaladin struggles to save his men and fathom leaders who deem them expendable, in senseless wars where ten armies fight separately against one foe.
Brightlord Dalinar Kholin commands one of those other armies. Fascinated by the ancient text namedThe Way of Kingsand troubled by visions of ancient times, he doubts his sanity.
Across the ocean, Shallan trains under eminent scholar and notorious heretic, Dalinar's niece Jasnah. Though Shallan genuinely loves learning, she plans a daring theft. Her research hints at secrets of the Knights Radiant and the true cause of the war.","['fantasy, paranormal', 'fiction']",Brandon Sanderson,873
5,7670,The Andromeda Strain,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://www.goodreads.com/book/show/7670.The_Andromeda_Strain,327,176161,"The United States government is given a warning by the pre-eminent biophysicists in the country: current sterilization procedures applied to returning space probes may be inadequate to guarantee uncontaminated re-entry to the atmosphere. Two years later, seventeen satellites are sent into the outer fringes of space to collect organisms and dust for study. One of them falls to earth, landing in a desolate area of Arizona. Twelve miles from the landing site, in the town of Piedmont, a shocking discovery is made: the streets are littered with the dead bodies of the town's inhabitants, as if they dropped dead in their tracks.","['fiction', 'mystery, thriller, crime', 'fantasy, paranormal']",Michael Crichton,524
6,10664113,A Dance with Dragons A Song of Ice and Fire 5,https://images.gr-assets.com/books/1327885335m/10664113.jpg,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons,1125,374315,"In the aftermath of a colossal battle, the future of the Seven Kingdoms hangs in the balance--beset by newly emerging threats from every direction. In the east, Daenerys Targaryen, the last scion of House Targaryen, rules with her three dragons as queen of a city built on dust and death. But Daenerys has thousands of enemies, and many have set out to find her. As they gather, one young man embarks upon his own quest for the queen, with an entirely different goal in mind.
Fleeing from Westeros with a price on his head, Tyrion Lannister, too, is making his way to Daenerys. But his newest allies in this quest are not the rag-tag band they seem, and at their heart lies one who could undo Daenerys's claim to Westeros forever.
Meanwhile, to the north lies the mammoth Wall of ice and stone--a structure only as strong as those guarding it. There, Jon Snow, 998th Lord Commander of the Night's Watch, will face his greatest challenge. For he has powerful foes not only within the Watch but also beyond, in the land of the creatures of ice.
From all corners, bitter conflicts reignite, intimate betrayals are perpetrated, and a grand cast of outlaws and priests, soldiers and skinchangers, nobles and slaves, will face seemingly insurmountable obstacles. Some will fail, others will grow in the strength of darkness. But in a time of rising restlessness, the tides of destiny and politics will lead inevitably to the greatest dance of all.","['fantasy, paranormal', 'fiction', 'history, historical fiction, biography']",George R.R. Martin,740
7,10572,A Clash of Kings A Song of Ice and Fire 2,https://images.gr-assets.com/books/1358254974m/10572.jpg,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,761,534960,"Alternate cover edition can be found .
Time is out of joint. The summer of peace and plenty, ten years long, is drawing to a close, and the harsh, chill winter approaches like an angry beast. Two great leaders--Lord Eddard Stark and Robert Baratheon--who held sway over an age of enforced peace are dead...victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns, as pretenders to the Iron Throne of the Seven Kingdoms prepare to stake their claims through tempest, turmoil, and war.
As a prophecy of doom cuts across the sky--a comet the color of blood and flame--six factions struggle for control of a divided land. Eddard's son Robb has declared himself King in the North. In the south, Joffrey, the heir apparent, rules in name only, victim of the scheming courtiers who teem over King's Landing. Robert's two brothers each seek their own dominion, while a disfavored house turns once more to conquest. And a continent away, an exiled queen, the Mother of Dragons, risks everything to lead her precious brood across a hard hot desert to win back the crown that is rightfully hers.
A Clash of Kings transports us into a magnificent, forgotten land of revelry and revenge, wizardry and wartime. It is a tale in which maidens cavort with madmen, brother plots against brother, and the dead rise to walk in the night. Here a princess masquerades as an orphan boy; a knight of the mind prepares a poison for a treacherous sorceress; and wild men descend from the Mountains of the Moon to ravage the countryside.
Against a backdrop of incest and fratricide, alchemy and murder, the price of glory may be measured in blood. And the spoils of victory may just go to the men and women possessed of the coldest steel...and the coldest hearts. For when rulers clash, all of the land feels the tremors.
Audacious, inventive, brilliantly imagined, A Clash of Kings is a novel of dazzling beauty and boundless enchantment;a tale of pure excitement you will never forget.","['fantasy, paranormal', 'fiction', 'history, historical fiction, biography']",George R.R. Martin,47
8,228665,The Eye of the World Wheel of Time 1,https://images.gr-assets.com/books/1337818095m/228665.jpg,https://www.goodreads.com/book/show/228665.The_Eye_of_the_World,814,266994,"The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.","['fantasy, paranormal', 'fiction', 'young-adult']",Robert Jordan,320
9,233649,The Great Hunt Wheel of Time 2,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://www.goodreads.com/book/show/233649.The_Great_Hunt,705,165160,"The Wheel of Time turns and Ages come and pass. What was, what will be, and what is, may yet fall under the Shadow. For centuries, gleemen have told of The Great Hunt of the Horn. Now the Horn itself is found: the Horn of Valere long thought only legend, the Horn which will raise the dead heroes of the ages.
And it is stolen.","['fantasy, paranormal', 'fiction', 'young-adult', 'romance']",Robert Jordan,520
10,1430,Eleven Minutes,https://images.gr-assets.com/books/1358266987m/1430.jpg,https://www.goodreads.com/book/show/1430.Eleven_Minutes,273,104240,"Eleven Minutesis the story of Maria, a young girl from a Brazilian village, whose first innocent brushes with love leave her heartbroken. At a tender age, she becomes convinced that she will never find true love, instead believing that ""love is a terrible thing that will make you suffer. . . ."" A chance meeting in Rio takes her to Geneva, where she dreams of finding fame and fortune.
Maria's despairing view of love is put to the test when she meets a handsome young painter. In this odyssey of self-discovery, Maria has to choose between pursuing a path of darkness--sexual pleasure for its own sake--or risking everything to find her own ""inner light"" and the possibility of sacred sex, sex in the context of love.","['fiction', 'romance']",Margaret Jull Costa,912
11,13,The Ultimate Hitchhikers Guide to the Galaxy,https://images.gr-assets.com/books/1404613595m/13.jpg,https://www.goodreads.com/book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,815,225626,"At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series.
""The Hitchhiker's Guide to the Galaxy""
Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.
""The Restaurant at the End of the Universe""
Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.
""Life, the Universe and Everything""
The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.
""So Long, and Thanks for All the Fish""
Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.
""Mostly Harmless""
Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?
Also includes the short story ""Young Zaphod Plays It Safe"".","['fiction', 'fantasy, paranormal', 'young-adult']",Douglas Adams,856
12,117251,Hamlet Screenplay Introduction And Film Diary,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://www.goodreads.com/book/show/117251.Hamlet,224,160043,"Often credited with creating a popular movie audience for Shakespeare, Kenneth Branagh has wanted for many years to bring to the screen the complete, full-length version of Hamlet, Shakespeare's greatest play.
""The film, like the play, will have something for everyone,"" he says. ""Its a ghost story, a thriller, an action-packed murder mystery, and a great tragedy that is profoundly moving."" With an outstanding cast of international actors--including Derek Jacobi as Claudius, Julie Christie as Gertrude, Kate Winslet as Ophelia, Charlton Heston as the Player King, Robin Williams as Osric, and Gerard Depardieu as Reynaldo--Branagh's version, in which he will play the title role as well as direct, is sure to go down in film history.
This beautiful volume includes Branagh's introduction and screenplay adaptation of Shakespeare's text, color and black-and-white stills, and a production diary that takes us behind the scenes for a day-to-day look at the shooting of his film.","['fiction', 'poetry', 'history, historical fiction, biography', 'non-fiction', 'romance', 'young-adult']",William Shakespeare,911
13,2233407,From Dead to Worse Sookie Stackhouse 8,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://www.goodreads.com/book/show/2233407.From_Dead_to_Worse,359,152039,"After the natural disaster of Hurricane Katrina and the manmade explosion at the vampire summit, everyone human and otherwise is stressed, including Louisiana cocktail waitress Sookie Stackhouse, who is trying to cope with the fact that her boyfriend Quinn has gone missing.
It's clear that things are changing whether the weres and vamps of her corner of Louisiana like it or not. And Sookie, Friend to the Pack and blood-bonded to Eric Northman, leader of the local vampire community is caught up in the changes.
In the ensuing battles, Sookie faces danger, death, and once more, betrayal by someone she loves. And when the fur has finished flying and the cold blood finished flowing, her world will be forever altered.","['fantasy, paranormal', 'fiction', 'romance', 'mystery, thriller, crime', 'young-adult']",Charlaine Harris,140
14,170210,Dead as a Doornail Sookie Stackhouse 5,https://images.gr-assets.com/books/1468562419m/170210.jpg,https://www.goodreads.com/book/show/170210.Dead_as_a_Doornail,297,170673,"Small-town cocktail waitress Sookie Stackhouse has had more than her share of experience with the supernatural--but now it's really hitting close to home. When Sookie sees her brother Jason's eyes start to change, she knows he's about to turn into a were-panther for the first time--a transformation he embraces more readily than most shapeshifters she knows. But her concern becomes cold fear when a sniper sets his deadly sights on the local changeling population, and Jason's new panther brethren suspect he may be the shooter. Now, Sookie has until the next full moon to find out who's behind the attacks--unless the killer decides to find her first...","['fantasy, paranormal', 'fiction', 'romance', 'mystery, thriller, crime', 'young-adult']",Charlaine Harris,222
15,110494,Living Dead in Dallas Sookie Stackhouse 2,https://images.gr-assets.com/books/1329501808m/110494.jpg,https://www.goodreads.com/book/show/110494.Living_Dead_in_Dallas,291,192189,"Cocktail waitress Sookie Stackhouse is having a streak of bad luck. First her co-worker is killed, and no one seems to care. Then she comes face to-face with a beastly creature that gives her a painful and poisonous lashing. Enter the vampires, who graciously suck the poison from her veins (like they didn't enjoy it).
The point is: they saved her life. So when one of the bloodsuckers asks for a favor, she obliges - and soon Sookie's in Dallas, using her telepathic skills to search for a missing vampire. She's supposed to interview certain humans involved, but she makes one condition: the vampires must promise to behave and let the humans go unharmed. But that's easier said than done, and all it takes is one delicious blonde and one small mistake for things to turn deadly....","['fantasy, paranormal', 'fiction', 'romance', 'mystery, thriller, crime', 'young-adult']",Charlaine Harris,132
16,11564,The Girl Who Loved Tom Gordon,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://www.goodreads.com/book/show/11564.The_Girl_Who_Loved_Tom_Gordon,264,97308,"Nine-year-old Trisha McFarland strays from the path while she and her recently divorced mother and brother take a hike along a branch of the Appalachian Trail. Lost for days, wandering farther and farther astray, Trisha has only her portable radio for comfort. A huge fan of Tom Gordon, a Boston Red Sox relief pitcher, she listens to baseball games and fantasizes that her hero will save her. Nature isn't her only adversary, though - something dangerous may be tracking Trisha through the dark woods.","['fiction', 'mystery, thriller, crime', 'fantasy, paranormal']",Stephen King,25
17,16130549,Doctor Sleep,https://images.gr-assets.com/books/1510335480m/16130549.jpg,https://www.goodreads.com/book/show/16130549-doctor-sleep,531,98088,"Stephen King returns to the characters and territory of one of his most popular novels ever, The Shining, in this instantly riveting novel about the now middle-aged Dan Torrance (the boy protagonist of The Shining) and the very special 12-year-old girl he must save from a tribe of murderous paranormals.
On highways across America, a tribe of people called The True Knot travel in search of sustenance. They look harmless - mostly old, lots of polyester, and married to their RVs. But as Dan Torrance knows, and spunky 12-year-old Abra Stone learns, The True Knot are quasi-immortal, living off the ""steam"" that children with the ""shining"" produce when they are slowly tortured to death.
Haunted by the inhabitants of the Overlook Hotel where he spent one horrific childhood year, Dan has been drifting for decades, desperate to shed his father's legacy of despair, alcoholism, and violence. Finally, he settles in a New Hampshire town, an AA community that sustains him, and a job at a nursing home where his remnant ""shining"" power provides the crucial final comfort to the dying. Aided by a prescient cat, he becomes ""Doctor Sleep.""
Then Dan meets the evanescent Abra Stone, and it is her spectacular gift, the brightest shining ever seen, that reignites Dan's own demons and summons him to a battle for Abra's soul and survival. This is an epic war between good and evil, a gory, glorious story that will thrill the millions of hyper-devoted fans of The Shining and wildly satisfy anyone new to the territory of this icon in the King canon.","['fiction', 'mystery, thriller, crime', 'fantasy, paranormal']",Stephen King,621
18,862041,Harry Potter Boxset Harry Potter 17,https://images.gr-assets.com/books/1392579059m/862041.jpg,https://www.goodreads.com/book/show/862041.Harry_Potter_Boxset,4100,193057,"The exciting tales of Harry Potter, the young wizard-in-training, have taken the world by storm, and fans just can't get enough of the magical world of Hogwarts and beyond. If you buy one of the Harry Potter books, we guarantee you'll want the next... and the next... and the next -- so why not have them all, right at your fingertips? With the Harry Potter Boxed Set (Years 1-7), Barnes & Noble.com offers simple one-stop shopping for your Harry Potter library! As easy as the wave of a magic wand, you can get all seven Harry Potter books delivered to your doorstep at once.
The Harry Potter Boxed Set includes hardcover editions of Harry Potter and the Sorcerer's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet of Fire, Harry Potter and the Order of the Phoenix, Harry Potter and the Half-Blood Prince,and Harry Potter and the Deathly Hallows.The books come snugly packed in a decorative, trunk-like box with sturdy handles and a privacy lock -- and includes decorative stickers!
So buy the set, and not even a pesky Locomotor Mortis spell cast by the evil Lord Voldem...(oooops, sorry -- He-Who-Must-Not-Be-Named) can get in the way of your enjoying all of the mystery, adventure, intrigue, and, of course, magic that Muggles around the world can't seem to get enough of. Hold on tight -- it's going to be a bumpy ride!","['fantasy, paranormal', 'young-adult', 'fiction', 'children', 'romance', 'mystery, thriller, crime']",J.K. Rowling,679
19,29056083,Harry Potter and the Cursed Child Parts One and Two Harry Potter 8,https://images.gr-assets.com/books/1470082995m/29056083.jpg,https://www.goodreads.com/book/show/29056083-harry-potter-and-the-cursed-child---parts-one-and-two,343,288018,"The Eighth Story. Nineteen Years Later.
It was always difficult being Harry Potter and it isn't much easier now that he is an overworked employee of the Ministry of Magic, a husband, and father of three school-age children.
While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places.","['fantasy, paranormal', 'fiction', 'young-adult', 'children', 'mystery, thriller, crime']",J.K. Rowling,186
20,19057,I Am the Messenger,https://images.gr-assets.com/books/1398483261m/19057.jpg,https://www.goodreads.com/book/show/19057.I_Am_the_Messenger,360,94968,"protect the diamonds
survive the clubs
dig deep through the spades
feel the hearts
Ed Kennedy is an underage cabdriver without much of a future. He's pathetic at playing cards, hopelessly in love with his best friend, Audrey, and utterly devoted to his coffee-drinking dog, the Doorman. His life is one of peaceful routine and incompetence until he inadvertently stops a bank robbery.
That's when the first ace arrives in the mail.
That's when Ed becomes the messenger.
Chosen to care, he makes his way through town helping and hurting (when necessary) until only one question remains: Who's behind Ed's mission?","['young-adult', 'fiction', 'mystery, thriller, crime', 'romance', 'fantasy, paranormal']",Markus Zusak,455
21,41804,I Robot Robot 01,https://images.gr-assets.com/books/1388321463m/41804.jpg,https://www.goodreads.com/book/show/41804.I_Robot,224,201196,"The three laws of Robotics:
1) A robot may not injure a human being or, through inaction, allow a human being to come to harm.
2) A robot must obey orders given to it by human beings except where such orders would conflict with the First Law.
3) A robot must protect its own existence as long as such protection does not conflict with the First or Second Law.
With these three, simple directives, Isaac Asimov changed our perception of robots forever when he formulated the laws governing their behavior. In I, Robot, Asimov chronicles the development of the robot through a series of interlinked stories: from its primitive origins in the present to its ultimate perfection in the not-so-distant future--a future in which humanity itself may be rendered obsolete.
Here are stories of robots gone mad, of mind-read robots, and robots with a sense of humor. Of robot politicians, and robots who secretly run the world--all told with the dramatic blend of science fact and science fiction that has become Asimov's trademark.","['fiction', 'fantasy, paranormal', 'mystery, thriller, crime']",Isaac Asimov,835
22,186074,The Name of the Wind The Kingkiller Chronicle 1,https://images.gr-assets.com/books/1472068073m/186074.jpg,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,662,416634,"Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen.
The intimate narrative of his childhood in a troupe of traveling players, his years spent as a near-feral orphan in a crime-ridden city, his daringly brazen yet successful bid to enter a legendary school of magic, and his life as a fugitive after the murder of a king form a gripping coming-of-age story unrivaled in recent literature.
A high-action story written with a poet's hand, The Name of the Windis a masterpiece that will transport readers into the body and mind of a wizard.","['fantasy, paranormal', 'fiction', 'young-adult', 'romance']",Patrick Rothfuss,199
